Curso,Unidade Curricular,Turno,Turma,Inscritos no turno,Dia da semana,Hora inÃ­cio da aula,Hora fim da aula,Data da aula,Sala atribuÃ­da Ã  aula,LotaÃ§Ã£o da sala
PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,14/11/2022,AA3.24,30
PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,07/11/2022,AA2.23,50
PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,31/10/2022,AA2.23,50
PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,24/10/2022,AA2.23,50
PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,17/10/2022,AA3.24,30
PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,10/10/2022,AA3.24,30
PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,03/10/2022,AA2.28,30
PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,26/09/2022,AA2.26,30
LP,CompetÃªncias AcadÃ©micas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,14/12/2022,"2,00E+07",50
LP,CompetÃªncias AcadÃ©micas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,07/12/2022,"2,00E+07",50
LP,CompetÃªncias AcadÃ©micas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,30/11/2022,"2,00E+07",50
LP,CompetÃªncias AcadÃ©micas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,23/11/2022,"2,00E+07",50
LP,CompetÃªncias AcadÃ©micas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,16/11/2022,"2,00E+07",50
LP,CompetÃªncias AcadÃ©micas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,09/11/2022,"2,00E+07",50
LP,CompetÃªncias AcadÃ©micas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,02/11/2022,"2,00E+07",50
LP,CompetÃªncias AcadÃ©micas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,26/10/2022,"2,00E+07",50
LP,CompetÃªncias AcadÃ©micas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,19/10/2022,"2,00E+07",50
LP,CompetÃªncias AcadÃ©micas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,12/10/2022,"2,00E+07",50
LP,CompetÃªncias AcadÃ©micas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,28/09/2022,"2,00E+07",50
LP,CompetÃªncias AcadÃ©micas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,21/09/2022,"2,00E+07",50
CT,GestÃ£o de Conflitos,00668TP02,CI-CT-02,24,Qui,13:00:00,15:00:00,10/11/2022,AA3.30,24
CT,GestÃ£o de Conflitos,00668TP02,CI-CT-02,24,Qui,13:00:00,15:00:00,03/11/2022,AA3.30,24
CT,GestÃ£o de Conflitos,00668TP02,CI-CT-02,24,Qui,13:00:00,15:00:00,27/10/2022,AA3.30,24
CT,GestÃ£o de Conflitos,00668TP02,CI-CT-02,24,Qui,13:00:00,15:00:00,20/10/2022,AA3.30,24
CT,GestÃ£o de Conflitos,00668TP02,CI-CT-02,24,Qui,13:00:00,15:00:00,13/10/2022,AA3.30,24
CT,GestÃ£o de Conflitos,00668TP02,CI-CT-02,24,Qui,13:00:00,15:00:00,06/10/2022,AA3.30,24
